(अश्वत्थ वृक्ष) पका हुआ फल	(অশ্বত্থ গাছের) পাকা ফল
(आग की) चिंगारी	(আগুনের)ফুলকি
(आम) जाम	(আমের)মোরব্বা
(कुल्फिर) चोंग	(কুলফির) চোঙ
(पानी की बूंद	(জলের)ফোঁটা
(पक्षियों के लिए रखा गया) पानी के कंटेनर	(পাখীদের জন্য রাখা) জলপাত্র
(बैल द्वारा खींचा गया) हल	(বলদ দিয়ে টানা)লাঙল
(महिला) मजदूर	(মহিলা)মজুর
.Kiss प्राप्तकर्ता	.চুম্বন গ্রহণকারী
1	1
१०	10
10000	10000
1000000	1000000
100000000 है	100000000
1000000000000	1000000000000
10000000000000 है	10000000000000
1000000000000000	1000000000000000
1 1	11
१२	12
१३	13
१४	14
१५	15
१६	16
१।	17
१।	18
१ ९	19
1 पू	1ooooooooooo
२	2
२०	20
२१	21
२२	22
२३	23
२४	24
२५	25
२६	26
२।	27
२।	28
२ ९	29
३	3
३०	30
३१	31
32	32
३३	33
34	34
३५	35
३६	36
३।	37
38	38
३ ९	39
४	4
40	40
४१	41
42	42
४३	43
४४	44
४६	46
४ 47	47
५	5
50	50
5000000 रु	5000000
५१	51
५२	52
५३	53
५४	54
५५	55
56	56
५ 57	57
५ 58	58
५ ९	59
६	6
६१	61
६२	62
63	63
६५	65
66	66
६ 67	67
६ 68	68
69. है	69
।	7
71	71
.२	72
73	73
74	74
75	75
76	76
77	77
78	78
। ९	79
।	8
81	81
.२	82
83	83
.४	84
85	85
86. है	86
87	87
88	88
89. है	89
९	9
91	91
92	92
93	93
94	94
95	95
96	96
97	97
९९	99
ए	A
पत्र ए।	A অক্ষর
रों	S
पत्र	S অক্ষর
ए	a
एक पत्र	a অক্ষর
रों	s
पत्र	s অক্ষর
ओह	ঁ
इ	ং
गैर	অ
गैर कार	অ কার
गणित	অংক
अंकारा	অংকারা
चक्राकार पदार्थ	অংটী
अंश	অংশ
भाग वितरण	অংশ বণ্টন
PARTITION	অংশ বিভাজন
भाग लेना	অংশগ্রহণ
प्रतिभागियों	অংশগ্রহণকারী
योगदान	অংশদান
हितधारकों	অংশধারী
साझेदारी	অংশিদারী
साथी	অংশীদার
साझेदारी	অংশীদারি
साझेदारी	অংশীদারী
अंशु	অংশু
आंशिक	অংশুক
अंशुमंता	অংশুমন্ত
अंशुमन	অংশুমান
सच कहूं	অকপট
कंपन	অকম্পন
Akarkara	অকরকরা
अकर्मक क्रिया	অকর্মক ক্রিয়া
बेकार व्यक्ति	অকর্মণ্য ব্যাক্তি
अक्षमता	অকর্মণ্যতা
अकर्मा	অকর্মা
ऑकलैंड	অকল্যান্ড
बेकार की कार्रवाई	অকাম কর্ম
अनुचित भय	অকারণের ভীতি
अमान्य	অকার্য
असामयिक	অকাল
असमय मौत	অকাল মৃত্যু
असामयिक	অকালজাত
असामयिक	অকালি
समयपूर्व सिख	অকালি সিখ
बदनामी	অকীর্তি
अक्षमता	অকুটিলতা
अकुलिन	অকুলিন
अकुलिन व्यक्ति	অকুলিন ব্যক্তি
अकुशल	অকুশল
कुशल नाटककार	অকুশল নাট্যশিল্পী
अक्षमता	অকুশলতা
कृतज्ञता	অকৃতজ্ঞতা
अमान्य	অকৃত্য
अखंडता	অকৃত্রিমতা
एहसान फरामोश	অকৃপা
अकोला	অকোলা
अकोला जिला	অকোলা জেলা
अकोला शहर	অকোলা শহর
अक्कलकोट	অক্কলকোট
ऑक्टोपस	অক্টোপাস
अक्टूबर	অক্টোবর
अक्टूबर	অক্টোবর মাস
अकोला	অক্মোলা
गुस्सा	অক্রোধ
एक्सिस	অক্ষ
अक्ष रेखा	অক্ষ রেখা
बरकरार	অক্ষত
अक्षत चावल	অক্ষত চাল
अक्ष बार	অক্ষদণ্ড
अपूर्ण	অক্ষধুর
विकलांगता	অক্ষমতা
विकलांगता	অক্ষমালা
विकलांग मालिक	অক্ষমালিক
अक्षमालिक उपनिषद	অক্ষমালিক উপনিষদ
अक्षमालिकोपनिषद	অক্ষমালিকোপনিষদ
पात्र	অক্ষর
अक्षर a	অক্ষর অ
पत्र ए।	অক্ষর আ
चरित्र माला	অক্ষর মালা
चरित्र संबंधक	অক্ষর সংযোজক
पत्र-लेआउट	অক্ষর-বিন্যাস
वर्णमाला	অক্ষরজীবি
वर्णमाला	অক্ষরন্যাস
वर्णमाला	অক্ষরপঙ্কতি
अक्षर	অক্ষরমালা
अक्षांश	অক্ষাংশ
अक्षांश रेखा	অক্ষাংশ রেখা
एक्सिस	অক্ষাগ্র
आंख	অক্ষি
अक्षि उपनिषद	অক্ষি উপনিষদ
नेत्रगोलक	অক্ষি পটল
एक्सिस	অক্ষিকোণ
अक्षतारा	অক্ষিতারা
कांख-संबंधी	অক্ষিপক্ষ
आंख को पकड़ने	অক্ষুমুখ
अक्षोव	অক্ষোভ
अक्षौहिणी	অক্ষৌহিণী
अक्षय- III	অক্ষয়-তৃতীয়া
अक्षय कुमार	অক্ষয়কুমার
अक्षय तृतीया	অক্ষয়তৃতীয়া
अक्षयनाभमी	অক্ষয়নবমী
अक्षयबोट	অক্ষয়বট
ऑक्सफ़ोर्ड	অক্সফর্ড
ऑक्सफ़ोर्ड	অক্সফোর্ড
ऑक्साइड	অক্সাইড
ऑक्सीजन	অক্সিজেন
ऑक्सीजन परमाणु	অক্সিজেন পরমাণু
अखंडता	অখন্ডতা
अखट	অখাত
अखाद्य पदार्थ	অখাদ্য পদার্থ
अखाद्य	অখাদ্য বস্তু
अखानी	অখানি
पूरी दुनिया	অখিল বিশ্ব
ऑल इंडिया फुटबॉल एसोसिएशन	অখিল ভারতীয় ফুটবল সংঘ
अखैनी	অখৈনি
अख्तर	অখ্তাবর
बदनामी	অখ্যাতি
आगर बाग	অগড় বগড়
अगति	অগতি
अगदतंत्र	অগদতন্ত্র
अगन	অগন
अप्राप्यता	অগম্যতা
अग्रु	অগরু
अगस्त्य	অগস্ত্য
अगस्टकूट	অগস্ত্যকূট
अगस्त्य गीता	অগস্ত্যগীতা
अगाबे	অগাবে
अगाबे का पेड़	অগাবে গাছ
आग	অগিন
अगिया	অগিয়া
Agiosan	অগিয়াসন
अपमानजनक स्थिति	অগৌরবজনক অবস্থা
अज्ञेय	অগ্নায়ী
आग	অগ্নি
अग्नि का कोण	অগ্নি কোণ
उग्र जीभ	অগ্নি জিহ্বা
अग्नि परीक्षा	অগ্নি পরীক্ষা
अग्नि पुराण	অগ্নি পুরাণ
अग्नि का मंदिर	অগ্নি মন্দির
अग्नि-कुंड	অগ্নি-কুণ্ড
अग्नि-परीक्षा	অগ্নি-পরীক্ষা
आतिशबाजी	অগ্নিকর্ম
आग	অগ্নিকাণ্ড
अग्निकार्य	অগ্নিকার্য
चिमनी	অগ্নিকুণ্ড
आतिशबाजी	অগ্নিক্রিয়া
अग्निदेव	অগ্নিদেব
अग्निशामक	অগ্নিনাশক-যন্ত্র
अग्निशमन	অগ্নিনির্বপক দল
अग्निशामक	অগ্নিনির্বাপক-যন্ত্র
परख	অগ্নিপরীক্ষা
उग्र	অগ্নিপাবক
अग्निपाकाक ऋषि	অগ্নিপাবক ঋষি
अग्निपुराण	অগ্নিপুরাণ
अग्नि उपासक	অগ্নিপূজক
उग्र	অগ্নিবর্ণ
आग्नेयास्त्रों	অগ্নিবাণ
खट्टी डकार	অগ্নিমান্দ্য
अग्नि का मुख	অগ্নিমুখ
आग की लपट	অগ্নিশিখা
अग्निस्तोम	অগ্নিষ্টোম
अग्निस्तोम यज्ञ	অগ্নিষ্টোম যজ্ঞ
दाह संस्कार	অগ্নিসংস্কার
विस्फोट	অগ্নুত্পাত
अग्न्याशय	অগ্ন্যাশয়
फूल उखाड़ो	অগ্যস্ত ফুল
मुहरा	অগ্র ভাগ
प्रगति	অগ্রগতি
सुगंध	অগ্রগন্ধা
प्रथम अन्वेषक	অগ্রগামী
ज्येष्ठ	অগ্রজ
ज्येष्ठ	অগ্রজা
प्रथम अन्वेषक	অগ্রণী
प्रथम अन्वेषक	অগ্রদূত
नोक	অগ্রভাগ
Agrasen	অগ্রসেন
आगे	অগ্রহস্ত
आगरा	অগ্রা
आक्रमण	অগ্রাশন
अग्रयुद्ध	অগ্রায়ুধ
