 Nature	 പ്രകൃതി
.	.
. Itching	. ചൊറി
. Pronoun	. പ്രൌഷ്ടപദി
. Mimamsa	. മീമാംസ
.Whip	.ചാട്ടുളി
.Hours	.മണിയടി
.Pumpkin	.മത്തന്‍
10000	10000
10000000	10000000
14	14
18	18
2	2
3	3
6	6
No.	അംകം
Amkara	അംകാറ
Member	അംഗം
Masturbation	അംഗചേഷ്ട
Amputation	അംഗച്ഛേദം
Amputation	അംഗച്ഛേദനം
Amputation	അംഗഛേദം
Membership	അംഗത്വം
Angada Dev	അംഗദ ദേവ്
Member	അംഗദന്
Member	അംഗദൻ
Angan	അംഗന
Orientation	അംഗന്യാസം
Anganwadi	അംഗന്വാടി
Genital mutilation	അംഗപ്രത്യംഗം
Member	അംഗപൻ
Mutilation	അംഗഭംഗം
Bodyguard	അംഗരക്ഷകന്
Bodyguards	അംഗരക്ഷകര്
Angarajan	അംഗരാജന്
Congratulations	അംഗലാവണ്യം
Amputation	അംഗവിഛേദനം
Disability	അംഗവൈകല്യം
Angaraka	അംഗാരക
Mars	അംഗാരകം
Angiras	അംഗിരസ്
Recognition.	അംഗീകരണം.
Accept	അംഗീകരിക്കുക
The basis for accepting or denying	അംഗീകരിക്കുകയോ നിഷേധിക്കുകയോ ചെയ്യുന്നതിന്റെ അടിസ്ഥാനം
Recognition	അംഗീകാരം
Inch	അംഗുലം
Anguli	അംഗുലി
Angola	അംഗോലക്കാരന്‍
Angola	അംഗോള
Angaria	അംഗൌരിയ
Amjana	അംജന
Amjabar	അംജബാര്
Amba	അംബ
Arrow	അംബം
Ambakam	അംബകം
Ambabai Devi	അംബബായിദേവി
Amber	അംബരം
Skyscraper	അംബരചുംബി
Skyscraper house	അംബരചുംബിയായ ഭവനം
Skyscraper house	അംബരചുംബിയായ വീട്
അംബഷ്ഠന്	അംബഷ്ഠന്
Ambaya	അംബായ
Ambarivathil	അംബാരിവാതില്‍
Ambala	അംബാല
Ambalika	അംബാലിക
Ambika	അംബിക
Ambikapuram	അംബികപുരം
Ambu	അംബു
Ambuja	അംബുജ
Ambujam	അംബുജം
Ambupatham.	അംബുപാതം.
Amburuham	അംബുരുഹം
Ambu	അംബു്‌
Ambedkar Nagar	അംബേദക്കര്‍ നഗര്‍
Ambedkar Nagar	അംബേദ്ക്കര്‍ നഗര്‍
അംഭസ്സു⁇	അംഭസ്സു്‌
Ambojam	അംഭോജം
Ambhojini	അംഭോജിനി
അംഭോരുഹം	അംഭോരുഹം
Ampa	അംമ്പാ
Acidity	അംളത്വം
Hemorrhoids	അംളപിത്തം
Acidity	അംളസാരം
Part	അംശം
Contribution	അംശദാനം
അംശു	അംശു
അംശു.	അംശു.
Fraction.	അംശുകം.
Anshuman	അംശുമാന്‍
Anshumali	അംശുമാലി
Inland.	അകക്കടല്.
Getting inside	അകത്തു കടക്കല്‍
In	അകത്തുള്ളവന്
Entrance fee.	അകത്തേക്കുള്ള വഴി പ്രവേശന ഫീസ്.
Inside	അകത്ത് വയ്ക്കുന്നകൂട്ട്
Insult	അകനിന്ദ
Escort horse	അകമ്പടിക്കുതിര
Akara grass	അകര പുല്ല
To the side.	അകരോട്ട്.
Acorn	അകര്ണ്ണം
Akarnan	അകര്ണ്ണന്‍
Inactive	അകര്മ്മകക്രിയ
Inaction	അകര്മ്മണ്യത
Removal	അകറ്റല്
Removal	അകറ്റല്‍
Distance	അകലം
Keeping distance	അകലം പാലിക്കല്‍
Dissociation	അകല്ച്ച
Invertebrates	അകശേരുജന്തു
Shape	അകാരം
Alphabetical	അകാരാദി
Premature death	അകാല നിര്യാണം
Premature death	അകാല മൃത്യു
Akali	അകാലി
The sky.	അകാശഗോളം.
Udder	അകിടു
The udder	അകിട്
Akit‌	അകിട്‌
അകില്	അകില്
അകൂപാരം	അകൂപാരം
Iniquity	അകൃത്യം
Akola	അകോല
അകോലം	അകോലം
Account	അകൌണ്ട്
No.	അക്ക
Number	അക്കം
Across	അക്കര
Akkalcott	അക്കല്കോട്ട്
Akkalbar	അക്കല്ബാർ
Academy	അക്കാദമി
Account holder	അക്കൌണ്ടുള്ള ആള്
Account	അക്കൌണ്ട്
Akbarpur	അക്ബരപുര്‍
Akbari	അക്ബരി
Akbarnama	അക്ബര്‍നാമ
Emperor Akbar	അക്ബർ ചക്രവർത്തി
Accra	അക്ര
Violence	അക്രമം
Violent	അക്രമി
Guards to prevent aggression	അക്രമികളെ തടയുന്നതിനുള്ള കാവല്‍ സൈന്യം
Not attacking	അക്രമിക്കാതിരിക്കല്
Akranti	അക്രാന്തി
Cruel	അക്രൂരന്
Aggression	അക്രോശം
Aquarium	അക്വേറിയം
Axis	അക്ഷം
Axis	അക്ഷതം
Impatience	അക്ഷമ
Akshamalika Upanishad	അക്ഷമാലിക ഉപനിഷത്
Akshaya	അക്ഷയ
Akshaya Navami	അക്ഷയ നവമി
Akshaya Vada tree	അക്ഷയ വട വൃക്ഷം
Akshayam	അക്ഷയം
Akshay Kumar	അക്ഷയകുമാരന്
Akshaya Tritiya	അക്ഷയതൃതീയ
The letter	അക്ഷരം
Alphabetical	അക്ഷരക്രമം
Algebra	അക്ഷരഗണിതം
Spelling	അക്ഷരചണന്‍
അക്ഷരചുഞ്ചു	അക്ഷരചുഞ്ചു
Literacy	അക്ഷരജ്ഞാനം
Alphabet	അക്ഷരമാല
Literacy	അക്ഷരവിദ്യാഭ്യാസമുള്ളവന്
Spelling Chand	അക്ഷരാന്യാസ ഛന്ദ്
Spelling	അക്ഷരാന്യാസം
Literacy	അക്ഷരാഭ്യാസം
Latitude	അക്ഷാംശം
Latitude	അക്ഷാംശരേഖ
The letter	അക്ഷാരം
Akshi	അക്ഷി
Akshi Upanishad	അക്ഷി ഉപനിഷത്
Akshibam	അക്ഷിബം
Tirelessness	അക്ഷീണത
Axis	അക്ഷീബം
Agitation	അക്ഷുബ്ധത
Akshani Sena	അക്ഷൌണി സേന
Axilgris	അക്സില്ഗ്രീസ്
Incompatibility	അകർമണ്യത
അഖണ്ടന്	അഖണ്ടന്
Integrity	അഖണ്ടിതന്‍
Integrity	അഖണ്ഡത
The letter	അഖര
Akhani	അഖാനി
അഖാര്	അഖാര്
All-around	അഖിലവ്യാപി
The universe	അഖിലാണ്ഡം
Akhani	അഖൌനി
Akhtab	അഖ്താബർ
Agam	അഗം
Agam.	അഗം.
Agatha strategy	അഗതതന്ത്രം
Poor thing	അഗതി
Agadam	അഗദം
Agamam	അഗമം
Agartala	അഗര്ത്തല
Agastya star	അഗസ്ത്യ നക്ഷത്രം
Sage Agastya	അഗസ്ത്യ മുനി
Agastyakoodam	അഗസ്ത്യകൂടം
Agastya song	അഗസ്ത്യഗീത
Abyss	അഗാധത
Agave	അഗാവെ
Agin	അഗിന്
Agia	അഗിയ
Agia temptation	അഗിയ വേതാളം
Agiason	അഗിയാസന്‍
Agiram	അഗിരം
അഗിരൌകസ്സു്.	അഗിരൌകസ്സു്.
The fire	അഗ്നായി
Fire	അഗ്നി
Fire cone	അഗ്നി കോണ്‍
Fire extinguisher	അഗ്നി ശമന യന്ത്രം
Ordeal	അഗ്നിപരീക്ഷ
Volcano.	അഗ്നിപര്വതം.
Volcanic eruption	അഗ്നിപര്വതപൊട്ടിത്തെറി
Volcanic eruption	അഗ്നിപര്വതസ്ഫോടനം
Agni Purana	അഗ്നിപുരാണം
The face of the volcano	അഗ്നിപർവ്വത മുഖം
Volcano	അഗ്നിപർവ്വതം
Fireball	അഗ്നിബാണം
Depression	അഗ്നിമാന്ദ്യം
Fire engine	അഗ്നിയന്ത്രം
Feeling of fire (loss of appetite)	അഗ്നിവികാരം (വിശപ്പില്ലായ്മ)
Fire department	അഗ്നിശമന വിഭാഗം
Firefighter	അഗ്നിശമനക്കാരന്
Firefighters	അഗ്നിശമനക്കാര്‍
Fire extinguisher	അഗ്നിശമനയന്ത്രം
Fire Brigade	അഗ്നിശമനസേന
Fireplace	അഗ്നിശാല
Fire	അഗ്നിശിഖ
Fire	അഗ്നിശിഖം
In the fire	അഗ്നിശിൽ
Agnishtoma	അഗ്നിഷ്ടോമം
Donation of fire witness	അഗ്നിസാക്ഷിയായ ദാനം
Agnisadam	അഗ്നിസാദം
Agnihotri	അഗ്നിഹോത്രി
Fire science.	അഗ്ന്യശാസ്‌ത്രം.
Edge	അഗ്രം
Sharp-edged hat	അഗ്രം കൂർത്ത  തൊപ്പി
Aggression	അഗ്രാശനം
Aguar	അഗ്വാര്
Agan	അഗൻ
Aganbandhi	അഗൻബന്ധി
അഘാതകള്	അഘാടകള്
Agora fast	അഘോര വ്രതം
Agora system	അഘോര സബ്രദായം
Horrible	അഘോരം
Aghori	അഘോരി
Aghnya	അഘ്ന്യ
Number	അങ്കം
Arithmetic	അങ്കഗണിതം
Arithmetic.	അങ്കഗണിതം.
Courtyard	അങ്കണം
Figure	അങ്കതം
Coat	അങ്കി
അങ്കുശം	അങ്കുശം
Market	അങ്ങാടി
Immovable	അചഞ്ചലന്‍
Immovable	അചല
Immovable	അചലം
The dictator	അചലാധിപന്‍
അചലാനാധന്.	അചലാനാധന്.
Unthinking	അചിന്തിതന്‍
Inanimate world	അചേതന ലോകം
Unconscious	അചേതനം
Unconsciousness	അചേതനാവസ്ഥ
Disciplinary training	അച്ചടക്ക പരിശീലനം
Discipline	അച്ചടക്കം
Print	അച്ചടി
Printing machine	അച്ചടി യന്ത്രം
The printer	അച്ചടിക്കുന്നവന്‍
Printing press	അച്ചടിശാല
Achani	അച്ചാണി
Pickles	അച്ചാരം
Pickle	അച്ചാര്
Axis	അച്ചുതണ്ട്
അച്ചുനിരത്തുകാരന്.	അച്ചുനിരത്തുകാരന്.
Ach	അച്ച്
The molder	അച്ച് നിരത്തുന്നവൻ
Father	അച്ഛച്ഛന്
Parents	അച്ഛനമ്മമാര്‍
