 बिस्तर	 अंथरूण
 कागज आदि: "कमरे के चारों ओर कागज की गेंदें पड़ी थीं"	 कागद इत्यादी:"खोलीत जिकडेतिकडे कागदाचे बोळे पडले होते"
 यहां तक कि कृष्ण जैसे अलौकिक प्राणियों को भी जातिवाद सहना पड़ा। "	 कृष्णांसारख्या अलौकिक व्यक्तींनाही लोकापवाद सहन करावा लागला."
 धर्म या व्यक्तियों के बारे में सम्मानित और श्रद्धेय भावनाएं: "मन को भगवान में विश्वास होना चाहिए।"	 धर्म किंवा व्यक्तींविषयी आदरयुक्त आणि पूज्य भाव:"देवाविषयी मनात श्रद्धा असली पाहिजे."
 कवर	 पांघरूण
 मजबूत पत्ती रहित झाड़ी: "मकड़ी के फूल पीले और फूल काले होते हैं।"	 बळकट बिनदेठांच्या लांबट पानांचे झुडूप:"कारळ्याच्या फुलांचा रंग  पिवळा असून फुलांचा रंग काळा असतो."
 बर्तन दान करने का कार्य, आदि: "लोग बिस्तर दान करके खुद को उद्धृत करते हैं।"	 भांडी इत्यादी दान करण्याची क्रिया:"शय्यादान करून लोक स्वतःला उद्धरित करतात."
 वाहक: "आज हड़ताल है।"	 वाहून घेऊन जाणारी व्यक्ती:"आज हमालांचा संप आहे."
-कहते हैं	-तरंग
-सड़क	-धारा
-पसंद	-सारखा
1	1
१०	10
100	100
1000000	1000000
10000000 रु	10000000
100000000 है	100000000
1 1	11
11 वीं	11वा
11 वीं	11वी
१२	12
12 वीं	12वा
12 वी	12वी
१३	13
१४	14
१५	15
150	150
१६	16
16 तारीख	16 तारीख
१।	17
१।	18
१ ९	19
1	1ला
1	1ली
२	2
२०	20
२१	21
२२	22
२३	23
२४	24
२५	25
२६	26
२।	27
२।	28
२ ९	29
2	2रा
2	2री
३	3
3 तारीख	3 तारीख
३०	30
३१	31
32	32
३३	33
34	34
३५	35
३६	36
३।	37
38	38
३ ९	39
3	3रा
3	3री
४	4
40	40
४१	41
42	42
४३	43
४४	44
४५	45
४६	46
४ 47	47
४ 48	48
४ ९	49
4 थी	4था
4 थी	4थी
५	5
50	50
5000000 रु	5000000
५१	51
५२	52
५३	53
५४	54
५५	55
56	56
५ 57	57
५ 58	58
५ ९	59
5 वीं	5वा
5 वीं	5वी
६	6
६०	60
60 वीं	60वा
६१	61
६२	62
63	63
64	64
६५	65
66	66
६ 67	67
६ 68	68
69. है	69
6	6वा
6	6वी
।	7
70	70
71	71
.२	72
72 वां	72वा
73	73
74	74
74 वें	74वा
75	75
76	76
76 वें	76वा
77	77
78	78
78 वें	78वा
। ९	79
7	7वा
7	7वी
।	8
80	80
81	81
.२	82
83	83
.४	84
85	85
86. है	86
87	87
88	88
89. है	89
8	8वा
8	8वी
90	90
91	91
92	92
93	93
95	95
96	96
98	98
९९	99
9	9वा
9	9वी
ए	A
अक्षर A	A अक्षर
ख	B
अक्षर B	B अक्षर
मैं	I
द्वितीय	II
तृतीय	III
चतुर्थ	IV
नौवीं	IX
हे	O
अक्षर ओ।	O अक्षर
रों	S
पत्र	S अक्षर
वी	V
छठी	VI
सातवीं	VII
आठवीं	VIII
एक्स	X
ए	a
एक पत्र	a अक्षर
ख	b
अक्षर b	b अक्षर
हे	o
o पत्र	o अक्षर
रों	s
s अक्षर	s अक्षर
ए	अ
एक पत्र	अ अक्षर
गैर-विटामिन	अ-जीवनसत्त्व
एंगस्ट्रॉम	अँगस्ट्रॉम
अंटानानारिवो	अँटाननरिव्हो
एंटीगुआ-बारबुडा	अँटिग्वा-बाराबूडा
एंटीजन	अँटिजन
एंटीबॉडी	अँटिबॉडी
एंटीबायोटिक दवाओं	अँटिबॉयोटिक
सुरमा	अँटिमनी
एंटीवायरस	अँटीव्हायरस
एंडोरा	अँडोरा
अंडोरा के लोग	अँडोराचे लोक
एम्फ़ैटेमिन	अँफेटामाईन
अंक	अंक
अंकगणित	अंकगणित
अंकिनी	अंकणी
प्रतिलिपि	अंकलिपी
अंकज्योतिष	अंकशास्त्र
अंकारा	अंकारा
अंकुर	अंकुर
अंकुरण	अंकुरण
नियंत्रण	अंकुश
लेखा परीक्षक	अंकेक्षक
चाचा	अंकोल
अंकोल	अंकोळ
अवयव	अंग
लिम्ब कास्टिंग	अंग टाकणे
अंग विकार	अंग-विकार
कुरूपता	अंग-विकृती
अवयव	अंगक
अवयव	अंगकाठी
विकृति	अंगछेद
विच्छेदन	अंगछेदक
विकृति	अंगछेदन
