 Bed	 अंथरूण
 Paper etc: "There were balls of paper lying around the room"	 कागद इत्यादी:"खोलीत जिकडेतिकडे कागदाचे बोळे पडले होते"
 Even supernatural beings like Krishna had to endure racism. "	 कृष्णांसारख्या अलौकिक व्यक्तींनाही लोकापवाद सहन करावा लागला."
 Respectful and revered feelings about religion or individuals: "The mind must have faith in God."	 धर्म किंवा व्यक्तींविषयी आदरयुक्त आणि पूज्य भाव:"देवाविषयी मनात श्रद्धा असली पाहिजे."
 Covering	 पांघरूण
 Strong leafless shrub: "The spider's flowers are yellow and the flowers are black."	 बळकट बिनदेठांच्या लांबट पानांचे झुडूप:"कारळ्याच्या फुलांचा रंग  पिवळा असून फुलांचा रंग काळा असतो."
 The act of donating utensils, etc.: "People quote themselves by donating beds."	 भांडी इत्यादी दान करण्याची क्रिया:"शय्यादान करून लोक स्वतःला उद्धरित करतात."
 Carrier: "There is a strike today."	 वाहून घेऊन जाणारी व्यक्ती:"आज हमालांचा संप आहे."
-Wave	-तरंग
-Stream	-धारा
-Like	-सारखा
1	1
10	10
100	100
1000000	1000000
10000000	10000000
100000000	100000000
11	11
11th	11वा
11th	11वी
12	12
12th	12वा
12V	12वी
13	13
14	14
15	15
150	150
16	16
16th date	16 तारीख
17	17
18	18
19	19
1st	1ला
1st	1ली
2	2
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
2nd	2रा
2nd	2री
3	3
3rd date	3 तारीख
30	30
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
3rd	3रा
3rd	3री
4	4
40	40
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
Was 4	4था
Was 4	4थी
5	5
50	50
5000000	5000000
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
5th	5वा
5th	5वी
6	6
60	60
60th	60वा
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
6th	6वा
6th	6वी
7	7
70	70
71	71
72	72
72nd	72वा
73	73
74	74
74th	74वा
75	75
76	76
76th	76वा
77	77
78	78
78th	78वा
79	79
7th	7वा
7th	7वी
8	8
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
8th	8वा
8th	8वी
90	90
91	91
92	92
93	93
95	95
96	96
98	98
99	99
9th	9वा
9th	9वी
A	A
The letter A	A अक्षर
B	B
The letter B	B अक्षर
I	I
II	II
III	III
IV	IV
IX	IX
O	O
The letter O.	O अक्षर
S	S
The letter S	S अक्षर
V	V
VI	VI
VII	VII
VIII	VIII
X	X
a	a
a letter	a अक्षर
b	b
The letter b	b अक्षर
o	o
o Letters	o अक्षर
s	s
s letter	s अक्षर
A	अ
A letter	अ अक्षर
Non-vitamin	अ-जीवनसत्त्व
Angstrom	अँगस्ट्रॉम
Antananarivo	अँटाननरिव्हो
Antigua-Barbuda	अँटिग्वा-बाराबूडा
Antigen	अँटिजन
Antibody	अँटिबॉडी
Antibiotics	अँटिबॉयोटिक
Antimony	अँटिमनी
Antivirus	अँटीव्हायरस
Andorra	अँडोरा
The people of Andorra	अँडोराचे लोक
Amphetamine	अँफेटामाईन
Points	अंक
Arithmetic	अंकगणित
Ankani	अंकणी
Transcript	अंकलिपी
Numerology	अंकशास्त्र
Ankara	अंकारा
Seedling	अंकुर
Germination	अंकुरण
Curb	अंकुश
Auditor	अंकेक्षक
Uncle	अंकोल
Ankol	अंकोळ
Limb	अंग
Limb casting	अंग टाकणे
Limb disorders	अंग-विकार
Deformity	अंग-विकृती
Limb	अंगक
Limb	अंगकाठी
Mutilation	अंगछेद
Amputation	अंगछेदक
Mutilation	अंगछेदन
Thumb	अंगठा
Thumb print	अंगठा छाप
Ring	अंगठी
Thumbs up	अंगठेबहाद्दर
Courtyard	अंगण
Angatran	अंगत्राण
Angad	अंगद
Angad Dev	अंगद देव
Limb	अंगदेश
Courtyard	अंगना
Limb	अंगप्रत्यंग
Limbs	अंगबळ
Angyashti	अंगयष्टी
Warfare	अंगयुद्ध
Bodyguard	अंगरक्षक
Tunic	अंगरखा
Corset	अंगवस्त्र
Limbs	अंगवाची
Limb words	अंगवाची शब्द
Deformity	अंगविकार
Deformity	अंगविकृती
Gesture	अंगविक्षेप
Mutilation	अंगविच्छेद
Amputation	अंगविच्छेदक
Amputation	अंगविच्छेदन
Body protection	अंगसुरक्षा
Posture	अंगस्थिती
Linger	अंगाई
Lullaby	अंगाई गीत
Angami	अंगामी
Embers	अंगार
Angarak	अंगारक
Angarak Chaturthi	अंगारक चतुर्थी
Angarki	अंगारकी
Cinnamon	अंगारपर्ण
Embers	अंगारा
Angik	अंगिक
Angiras	अंगिरस
Angiras sage	अंगिरस ऋषी
अंगिरस्	अंगिरस्
Angiras Rishi	अंगिरस् ऋषी
Angira	अंगिरा
Angiravrit	अंगिरावृत
Embrace	अंगी
Adoption	अंगीकरण
Acceptance	अंगीकार
Grapes	अंगुर
Finger	अंगुल
Angul District	अंगुल जिल्हा
The city of Angul	अंगुल शहर
Finger	अंगुली
Fingering	अंगुलीत्राण
Fingering	अंगुलीनिर्देश
Finger	अंगुळ
Ring	अंगुष्टी
Thumb	अंगुष्ठ
Thumb	अंगुष्ठान
Thumb	अंगुस्तन
Angustan	अंगुस्तान
Thumb	अंगुस्थान
Grapes	अंगूर
Thumb	अंगोठा
Angolan	अंगोलन
Angola	अंगोला
Bath	अंघोळ
Zone	अंचल
Anchvan	अंचवण
Anj	अंज
Anjan	अंजन
Anjana	अंजना
Anjaninandan	अंजनिनंदन
Anjani	अंजनी
Anjali	अंजली
Anjini	अंजिणी
Fig	अंजिर
Fig	अंजीर
Fig tree	अंजीर वृक्ष
Anjo	अंजॉ
Anjo District	अंजॉ जिल्हा
Antarctica	अंटार्क्टिका
Antarctica Vol	अंटार्क्टिका खंड
Antarctic	अंटार्टिक
Antarctic Territory	अंटार्टिक प्रदेश
Aunty	अंटी
Egg	अंड
Testicles	अंडकोश
Testicles	अंडकोष
Underworld	अंडरवर्ल्ड
Ovulation	अंडवृद्धी
Ovary	अंडाशय
Eggs	अंडे
The end	अंत
Intrinsic	अंतःऊर्जा
Conscience	अंतःकरण
Introspection	अंतःकाळ
Interior	अंतःपट
Antahpur	अंतःपुर
Intuition	अंतःप्रज्ञा
Inflow	अंतःप्रवाह
Intuition	अंतःप्रेरणा
Intuition	अंतःशुद्धि
End time	अंतःसमय
Endocrine glands	अंतःस्रावी ग्रंथी
Endocrine system	अंतःस्रावी संस्था
The end	अंतकाल
Difference	अंतर
Intimate	अंतरंग
Interracial marriage	अंतरजातीय विवाह
Intuition	अंतरज्ञान
Interface	अंतरपाट
Distance	अंतरा
Conscience	अंतरात्मा
Interruption	अंतराय
Interval	अंतराल
Space	अंतराळ
Astronaut	अंतराळयात्री
Spacecraft	अंतराळयान
Astronaut	अंतराळवीर
Space	अंतरिक्ष
Space Center	अंतरिक्ष केंद्र
Spacecraft	अंतरिक्षयान
Internal organs	अंतर्गत अवयव
Interior decorator	अंतर्गत सजावटकार
Endogenous	अंतर्गळ
Intuition	अंतर्ज्ञान
Disappearance	अंतर्धान
Underlying meaning	अंतर्निहित अर्थ
Implication	अंतर्भाव
Embedded meaning	अंतर्भूत अर्थ
Intuition	अंतर्मन
Intermittently	अंतर्याम
Concave magnifying glass	अंतर्वक्र भिंग
Underwear	अंतर्वस्त्र
Intermarriage	अंतर्विवाह
Antarveda	अंतर्वेद
Antarvedi	अंतर्वेदी
Antakshari	अंताक्षरी
The final round	अंतिम फेरी
Last location	अंतिम स्थान
The end	अंतिमकाळ
Antyaj	अंत्यज
Funeral	अंत्ययात्रा
Endowment	अंत्यवर्ण
Funeral	अंत्यविधी
Funeral	अंत्यसंस्कार
Consonant	अंत्याक्षर
To sleep	अंथरणे
Anthari	अंथरी
Bed	अंथरूण
Andaman	अंदमान
Andaman District	अंदमान जिल्हा
Andaman Nicobar	अंदमान निकोबार
Andaman and Nicobar Islands	अंदमान निकोबार द्वीप समूह
Guess	अंदाज
Budget	अंदाजपत्रक
Guessing	अंदाजबाजी
Blind	अंधक
Andhak Muni	अंधक मुनी
Darkness	अंधकार
Dark	अंधकारी
Andhatamisra	अंधतामिस्र
Hell in Egypt	अंधतामिस्र नरक
Blindness	अंधत्व
Blindness	अंधळेपणा
Superstition	अंधविश्वास
Superstitious	अंधविश्वासू
Superstition	अंधश्रद्धा
Indiscriminately	अंधाधुंधी
Blind imitation	अंधानुकरण
Darkness	अंधार
Dark forest	अंधारबन
Dark forest	अंधारवन
Andhari Dhokri	अंधारी ढोकरी
Dark eagle	अंधारी बाज
Dark night	अंधारी रात्र
Blurring	अंधुकपणा
Andhra	अंध्र
Andhra dynasty	अंध्र वंश
Andhrabhritya	अंध्रभृत्य
The umpire	अंपायर
Ambatavarana	अंबटवरण
Ambati	अंबटी
Amber	अंबर
Ambarai	अंबराई
Ambareesh	अंबरीष
Ambavan	अंबवण
Mango	अंबा
Amba river	अंबा नदी
Ambada	अंबाडा
Ambabai	अंबाबाई
Heap	अंबार
Barn	अंबारखाना
Ambari	अंबारी
Ambala	अंबाला
Ambala District	अंबाला जिल्हा
Ambalika	अंबालिका
Ambika	अंबिका
Goddess Ambika	अंबिका देवी
Ambikapur	अंबिकापूर
City of Ambikapur	अंबिकापूर शहर
Ambuj	अंबुज
Ambuja	अंबुजा
Ambud	अंबुद
Ambehalad	अंबेहळद
Amboz	अंबोज
Ambon	अंबोण
Execution	अंमल
Implementation	अंमलबजावणी
Fraction	अंश
Degrees centigrade	अंश सेंटीग्रेट
Degrees Celsius	अंश सेल्सिअस
Subscription	अंशग्रहण
Anshumant	अंशुमंत
Anshuman	अंशुमन
Anshuman	अंशुमान
Vibration	अकंपन
Frankly	अकपट
Akbar	अकबर
Akbarnama	अकबरनामा
Akbarpur	अकबरपूर
Akbarpur city	अकबरपूर शहर
Eleven	अकरा
Eleventh date	अकरा तारीख
Eleventh	अकरावा
Eleventh	अकरावी
Intransitive verb	अकर्मक क्रियापद
Idleness	अकर्मण्यता
Irrationality	अकलात्मकता
Welfare	अकल्याण
Axillary	अकशेरु
Aks	अकस
Akandtandav	अकांडतांडव
Accountant	अकाउंटंट
Account	अकाऊंट
Academy	अकादमी
Academy member	अकादमी सदस्य
Accordion	अकार्डियन
Famine	अकाल
Premature death	अकाल मरण
Premature death	अकाल मृत्यू
Premature	अकाली
Akali Dal	अकाली दल
Akali Sikh	अकाली शीख
Agate	अकीक
Invalid	अकृत्य
Immaturity	अकृत्रिमता
Akola	अकोला
Akola District	अकोला जिल्हा
Common sense	अक्कल
Wisdom teeth	अक्कल दाढ
Akkalkot	अक्कलकोट
Wise	अक्कलवान
Wise man	अक्कलवान व्यक्ती
Irrational	अक्कलशून्य
Akka	अक्का
Akrur	अक्रूर
Walnut	अक्रोड
Axis	अक्ष
Axis	अक्षक
Axis Sports	अक्षक्रीडा
Intact	अक्षत
Disability	अक्षमता
Akshamalik Upanishad	अक्षमालिक उपनिषद
Akshay Navami	अक्षय नवमी
Akshay Kumar	अक्षयकुमार
Inexhaustibility	अक्षयता
Akshay Tritiya	अक्षयतृतीया
Letters	अक्षर
Alphabetical	अक्षरगणवृत्त
Alphabet	अक्षरमाला
Alphabet	अक्षरवृत्त
Latitude	अक्षांश
Akshi Upanishad	अक्षि उपनिषद
Akshi	अक्षी
Akshauni	अक्षौणी
Akshauhini	अक्षौहिणी
Akhandkhuri	अखंडखुरी
Integrity	अखंडता
Integrity	अखंडितता
Arena	अखाडा
Inedible	अखाद्य पदार्थ
Inedible	अखाद्य वस्तू
All India Football Association	अखिल भारतीय फुटबॉल संघ
Finally	अखेर
Authority	अख्त्यारी
Necessary	अगत्य
Agadatantra	अगदतंत्र
Inaccessible	अगम्या
Incomprehensible woman	अगम्या स्त्री
If	अगर
Agartala	अगरतळा
Agartala city	अगरतळा शहर
Agarbatti	अगरबत्ती
Agaru	अगरू
Augusta	अगस्ता
August	अगस्ती
Agastyakoot	अगस्त्यकूट
Agastya Gita	अगस्त्यगीता
Agastya	अगस्त्या
Stranger	अगांतुक
Agaja	अगाजा
Abundance	अगाधता
Agave	अगावे
Agiyale	अगियाळे
Invisibility	अगोचरपणा
Igneous	अग्नायी
Fire pit	अग्निकुंड
Igneous rock	अग्निज खडक
To the fire	अग्निज्चाला
Agnidivya	अग्निदिव्य
Agnidev	अग्निदेव
Ordeal	अग्निपरीक्षा
Firefighter	अग्निपावक
Agnipavak sage	अग्निपावक ऋषी
Agnipurana	अग्निपुराण
Fire worshiper	अग्निपूजक
Rocket	अग्निबाण
Indigestion	अग्निमांद्य
Fiery	अग्निवर्ण
Fire rain	अग्निवर्षा
Fire department	अग्निशामक खाते
Fire brigade	अग्निशामक दल
Fire extinguisher	अग्निशामक यंत्र
Fire department	अग्निशामकखाते
Flame	अग्निशिखा
Agnistom	अग्निष्टोम
Agnistom Yajna	अग्निष्टोम यज्ञ
Cremation	अग्निसंस्कार
Agnihotra	अग्निहोत्र
Agnihotri	अग्निहोत्री
Fire	अग्नी
Firearms	अग्न्यस्त्र
Agyari	अग्यारी
Front	अग्र
Priority	अग्रक्रम
Leading	अग्रणी
Forerunner	अग्रदूत
Agra Puja	अग्रपूजा
Front	अग्रभाग
Front page	अग्रलेख
Forerunner	अग्रायुध
Incident	अघटित-घटना
Aghatit-vindana	अघटित-विंदाण
Aghatit-Vindan	अघटित-विंदान
Aghamarshan	अघमर्षण
Aghamarshan sage	अघमर्षण ऋषी
Aghada	अघाडा
Front	अघाडी
Aghasur	अघासुर
Awful	अघोर
Aghor Rishi	अघोर ऋषी
Aghor Chaturdashi	अघोर चतुर्दशी
Aghorpanth	अघोरपंथ
Aghorapanthi	अघोरपंथी
Aghora	अघोरा
Aghora ChaturdashiAghora	अघोरा चतुर्दशीअघोर
Aghori	अघोरी
Silent	अघोष
Immobility	अचंचलता
Surprise	अचंबा
Immovable	अचल
Immovable	अचलकीला
Immobility	अचलता
Achala	अचला
Achala Ekadashi	अचला एकादशी
Accuracy	अचूकता
Accuracy	अचूकपणा
Unconsciousness	अचेतनसृष्टी
Achyut	अच्युत
Today	अज
Ajanta	अजंठा
Ajagandha	अजगंधा
Dragon	अजगर
Python attitude	अजगरी वृत्ती
Strange	अजबखाना
Try	अजमाव
Try it out	अजमावा
Ajmas	अजमास
Ajmidh	अजमीढ
Ajmer	अजमेर
Ajmer District	अजमेर जिल्हा
Ajmer Sharif Dargah	अजमेर शरीफ दर्गा
Ajaguru	अजागुरु
Unknowingly	अजाणता
Inadvertent crime	अजाणता अपराध
Ignorance	अजाणतेपणा
Ajatashatru	अजातशत्रु
Ajati	अजाती
Unaware	अजान
Ajamil	अजामिल
Ajamil	अजामीळ
Ajamukh	अजामुख
Ajasur	अजासुर
Ajiji	अजिजी
Ajitnath	अजितनाथ
Ajitbala	अजितबला
Indigestion	अजीर्ण
Ajuba	अजुबा
Ajeguru	अजेगुरु
Inorganic action	अजैविक क्रिया
Inorganic process	अजैविक प्रक्रिया
