!.	!.
“Dangerous poison	"ప్రమాదకరమైన విషం
“Hereditary hostility	"వంశపారంపర్యమైన శత్రుత్వం
().	().
+	+
- Hobby	- అభిరుచి
--Experience	--అనుభవం
-Internation	-అంతర్భాగం
-October.	-అక్టోబరు.
-Ignorance.	-అజ్ఞానం.
-Athyanandam.	-అత్యానందం.
-Advaita.	-అద్వైతవాది.
-Official document.	-అధికార పత్రం.
-In other words	-అనేకార్థం
-Stranger.	-అపరిచితుడు.
-Sanuary.	-అభయారణ్యం.
-Innocent.	-అమాయకం.
-Stupid.	-అవివేకుడు.
-The invaders.	-ఆక్రమణదారులు.
-Order.	-ఆజ్ఞాపత్రం.
-Moderns	-ఆధునికులు
-Internet	-ఇంటర్నెట్
-Here.	-ఈదుట.
-Continent	-ఉపఖండం
-Onions.	-ఉల్లికాడలు.
-Hike	-ఎక్కు
-Height	-ఎత్తు
-Seventh.	-ఏడవ.
-Oripid.	-ఒరిపిడి.
-Oriya	-ఒరియా
-Qutub Minar	-కుతుబ్ మినార్
-Field	-క్షేత్రం
-Gunivadu.	-గూనివాడు.
-Moon	-చంద్రుడు
-Population.	-జనసంఖ్య.
-Jati Hinudu.	-జాతి హీనుడు.
-National	-జాతీయం
-Life	-జీవనం
-Biology.	-జీవవాదం.
-Tournament	-టోర్నమెంటు
-Satisfaction.	-తృప్తి.
-Telugu	-తెలుగు
-White	-తెలుపు
-Country.	-దేశం.
-City	-నగరం
-Net profit.	-నికర లాభం.
-Treasure	-నిధి
-Control.	-నియంత్రణ.
-Appointment.	-నియమించడం.
-Evidence of innocence testimony.	-నిర్దోషత్వ నిరూపణ వాంగ్మూలం.
-Residence	-నివాసం
-Mouth.	-నోరు.
-Navy soldier.	-నౌకా సైనికుడు.
-The mountaineer	-పర్వతారోహి
-Party.	-పార్టీ.
-Mangue.	-పుంలింగం.
-Archaeology	-పురాతత్త్వ శాస్త్రం
-Full time.	-పూర్ణకాలం.
-Archaeological science.	-పౌరాణిక శాస్త్రం.
-Mythical	-పౌరాణికం
-Location	-ప్రదేశం
-World	-ప్రపంచం
-Effect	-ప్రభావం
-Buragadudi	-బూరగదూది
-God	-భగవంతుడు
-Future period	-భవిష్యత్ కాలం
-Part	-భాగం
-Emotionality	-భావుకత
-Minister	-మంత్రి
-Maharaju	-మహారాజు
-Mixed	-మిశ్ర
-Juice	-రసం
-Politics.	-రాజనీతి.
-King	-రాజు
-Writing	-రాతప్రతి
-Rama History Manas.	-రామ చరిత్ర మానస్.
-Vala	-వల
-Meteorology.	-వాతావరణ శాస్త్రం.
-Vamanadvadashi.	-వామనద్వాదశి.
-Playing.	-వాయించుట.
-Vehicle.	-వాహనం.
-School	-విద్యాలయం
-Power station	-విద్యుత్ కేంద్రం
-Value.	-విలువ.
-Broad.	-విశాలం.
-Special authority.	-విశేష అధికారం.
-Excursion	-విహార యాత్ర
-Climate.	-శీతోష్ణమండలం.
-Number	-సంఖ్య
-Music	-సంగీతం
-Message carrier	-సందేశ వాహకుడు
-Evening	-సంధ్య
-Year	-సంవత్సరం
-Half	-సగం
-Subject	-సబ్జెక్టు
-Community	-సమూహం
-Ocean	-సాగరం
-Zero	-సున్న
-Position	-స్థానం
-Hawaii	-హవాయ్
.	.
.The parrot	.చిన్నచిలుక
.Dark blue.	.ముదురునీలం.
000	000
1/20	1/20
10	10
1000	1000
12.	12.
14.	14.
15th.	15వ.
16.	16.
17.	17.
18	18
19.	19.
2	2
20.	20.
21.	21.
23.	23.
24 carat gold	24 క్యారెట్ల బంగారం
26.	26.
3	3
A woman between the ages of 30 and 50	30 50 సంవత్సరాలమధ్యగల స్త్రీ
30.	30.
4	4
40.	40.
41.	41.
4320	4320
45.	45.
48.	48.
5	5
50.	50.
57.	57.
58.	58.
6	6
7	7
70.	70.
8	8
80	80
88.	88.
9	9
90.	90.
98.	98.
?	?
Number	అంకం
Arithmetic	అంకగణితం
Ankatalam	అంకతలం
Ankapali	అంకపాళి
Ankapeeth	అంకపీఠం
Digits	అంకాలు
Dedicated.	అంకితం.
Dedication	అంకితభావం
Dedication.	అంకితభావం.
Germination	అంకురం
Germination.	అంకురం.
Germination	అంకురార్పణ
Germination	అంకురార్పణం
Germination	అంకురార్పన
Restraint	అంకుశం
Ankushgrahudu	అంకుశగ్రహుడు
Ankushi	అంకుశి
Digit	అంకె
Num.	అంకె.
Digits	అంకెలు
Digits.	అంకెలు.
Penis	అంగ అంగము
Anal.	అంగ.
Organ	అంగం
Organ.	అంగం.
Organ	అంగకం
Amputation	అంగచ్చేదన
Amputation	అంగచ్ఛేదము
Angaja	అంగజ
Angajaharudu	అంగజహరుడు
Angajudu	అంగజుడు
Bazaar	అంగడి
Bazaar.	అంగడి.
Organ	అంగద
Rape.	అంగభంగం.
Limb	అంగభవుడు
Organ	అంగము
Angaraka	అంగరకా
Bodyguard	అంగరక్ష
Bodyguard	అంగరక్షకుడు
Angareku	అంగరేకు
Angular	అంగలార్పు
Thumb	అంగలి
Lingerie	అంగవస్త్రం
Angavastramu	అంగవస్త్రము
Angavastramu.	అంగవస్త్రము.
Verbal noise.	అంగవాచక శబ్ధం.
Synonym	అంగవాచకం
Disability	అంగవైకల్యం
Angaram	అంగారం
Mars	అంగారక గ్రహం
Mars	అంగారకం
Martial	అంగారధానిక
Angaradhami	అంగారధామి
Mars	అంగారపాత్ర
Mars	అంగారశకటి
Angari	అంగారి
Angarini	అంగారిణి
Limbs	అంగాలు
Shirt	అంగి
Thumbs	అంగిటిముల్లు
Fingertip.	అంగిలివ్యాధి.
The cloak	అంగీ
Accepting	అంగీకరించడం
Disagree	అంగీకరించని
Acceptance	అంగీకారం
Acceptance	అంగీకారము
Acceptance.	అంగీకారము.
Acceptance	అంగీకృతి
Adjective sound	అంగీవాచక శబ్ధం
Adjective	అంగీవాచకం
Thumb	అంగుటం
Inch	అంగుళం
Inch	అంగుళము
Finger	అంగుళి
Finger soreness	అంగుళి త్రాణం
Fingering	అంగుళిమోటనం
Fingernail	అంగుళిస్ఫోటం
Fingering.	అంగుళిస్ఫోటనం.
Fingertip	అంగుళీయకం
Anguru	అంగూరు
Guess	అంచన
Estimation	అంచనా
Edge	అంచు
Edge cloth	అంచు వస్త్రం
Fringes	అంచుగాజులు
Edges.	అంచులు.
Anja	అంజ
Anjana	అంజనా
Anjanadevi.	అంజనాదేవి.
Anjani	అంజనీ
Anjaneyudu	అంజనేయుడు
Anjali	అంజలి
Anji	అంజి
Untouchable	అంటరానికులం
Untouchability	అంటరానితనం
Untouchable	అంటరానివారు
అంటి.	అంటి.
Sticking	అంటించుకొవడం
అంటిచెట్టు.	అంటిచెట్టు.
Infectious	అంటుగత్తె
Contagious.	అంటుట.
Infection	అంటురోగం
Contagious	అంటువ్యాది
Infection	అంటువ్యాధి
Anda	అండ
The egg	అండం
Ovary	అండకోశం
Andaman	అండమాన్
Andaman Nicobar	అండమాన్ నికోబార్
Andaman and Nicobar Islands	అండమాన్ నికోబార్ దీవి
Anda	అండా
Anda.	అండా.
Ovary	అండాశయం
End	అంతం
End.	అంతం.
Intuition	అంతఃకరణం
Introversion	అంతఃకోపం
Antahpuram	అంతఃపురం
Antahpuram.	అంతఃపురం.
Endocrine glands	అంతఃశ్రావ్యగ్రంధులు
Endocrine gland	అంతఃస్రావీ గ్రంథి
Conscience	అంతఃస్సాక్షి
The heart	అంతఃహృదయం
Antakalamu.	అంతకాలము.
Antakalayam	అంతకాలయం
The end	అంతము
The end.	అంతము.
Interior home.	అంతర గృహం.
Spacing.	అంతరం.
Intimacy	అంతరంగం
Intimate means	అంతరంగిక అర్థం
The power of space	అంతరంలోని శక్తి
Internal	అంతరదిశ
Spacing	అంతరము
Conscience	అంతరాత్మ
Interruption	అంతరాయం
The implication	అంతరార్ధం
Spatial direction	అంతరాళ దిక్కు
Space	అంతరాళము
Intuition	అంతరింద్రియం
Space	అంతరిక్షం
Interval	అంతరీయం
International newspaper	అంతర్జాతీయపత్రం
International marriage	అంతర్జాతీయవివాహం
Internet Glossary Vocabulary.	అంతర్జాల పదమాలిక శబ్ధవైజయంతి.
Internet.	అంతర్జాలం.
Implicit.	అంతర్థ.
Disappearance	అంతర్ధానం
Underlying	అంతర్ధార
International Gazette	అంతర్ధేశపత్రం
International document	అంతర్ధేశీయ పత్రం
Intuition	అంతర్మదం
Introvert.	అంతర్ముఖుడు.
Intermediate	అంతర్యామి
Civil War	అంతర్యుద్ధం
Implicitly.	అంతర్లీనార్థం.
అంతశయ్య	అంతశయ్య
Flooding	అంతస్తాపం
Floor	అంతస్తు
Floor.	అంతస్థు.
Everything	అంతా
Antakshari	అంతాక్షరీ
అంతిక	అంతిక
The ultimate decisive game	అంతిమ నిర్ణయక ఆట
Funerals	అంతిమ సంస్కారాలు
Final condition	అంతిమ స్థితి
The final boundary	అంతిమ హద్దు
The final destination	అంతిమప్రదేశం
Funeral	అంతిమయాత్ర
Funeral.	అంతిమయాత్ర.
The end times	అంతిమయుగం
Funeral	అంత్యకర్మం
The end times	అంత్యకాలం
Funeral	అంత్యక్రియ
Funerals.	అంత్యక్రియలు.
The last	అంత్యజుడు
End color	అంత్యవర్ణం
Rhyme	అంత్యానుప్రాసం
The end	అంత్రం
Beauty	అందం
Beauty.	అందం.
Blonde	అందగత్తె
Blonde.	అందగత్తె.
Beautiful	అందగత్తే
Handsome	అందగాడు
Beauty	అందము
Beautiful	అందమైన
Beautiful view	అందమైన దృశ్యము
Beautiful writing	అందమైన వ్రాత
Handsome man	అందమైనపురుషుడు
Beautiful woman	అందమైనస్త్రీ
Everyone's opinion	అందరి అభిప్రాయము
Everyone	అందరు
Everyone wears the same uniform.	అందరూ ధరించు ఒకేవిధమైన దుస్తులు.
Beauty.	అందలం.
Beauty	అందలము
Beauty.	అందవికారం.
Unattractive woman	అందవిహీన స్త్రీ
Unattractive	అందహీనుడు
A mass of beauties	అందాల రాశి
Therefore	అందుకము
Anxiety	అందోలి
Darkness	అంధకారం
Blindness	అంధత్వము
Blindness	అంధభక్తి
Imitation	అంధానుకరణం
Blindness	అంధానుసరణ
అంధిక	అంధిక
Darkness	అంధురాలు
అంపకట్టె	అంపకట్టె
అంపకాడు	అంపకాడు
Arrow	అంపు
Amba	అంబ
Ambakam	అంబకం
Amber gem	అంబర రత్నము
Amber	అంబరం
Ambarakeshudu	అంబరకేశుడు
అంబరము	అంబరము
Ambarishudu	అంబరీషుడు
Amba	అంబా
Ambadi	అంబాడీ
Ambanapukaya	అంబాణపుకాయ
Ambanapuchettu	అంబాణపుచెట్టు
Ambari	అంబారి
Ambari.	అంబారి.
Ambari	అంబారీ
Ambali.	అంబాలి.
Ambalika	అంబాలికా
Ambika	అంబిక
Ambika	అంబికా
Anbu	అంబు
Ambukantakam	అంబుకంటకం
Ambuja	అంబుజ
Ambujam	అంబుజం
Ambujagarbhudu	అంబుజగర్భుడు
Ambujanabhudu	అంబుజనాభుడు
Ambujakshi.	అంబుజాక్షి.
Ambujudu	అంబుజుడు
Ambujodharadu	అంబుజోధరుడు
Ambudayam	అంబుదాయం
Ambudayanam	అంబుదాయనం
Anbudham	అంబుధం
Ambudhi	అంబుధి
Ambunidhi	అంబునిధి
Amburisha	అంబురీశ
Amburuham	అంబురుహం
Ambulapodi	అంబులపొది
Ambuvahini	అంబువాహిణి
Anbu	అంబువు
Ambodhi	అంబోధి
Ambonidhi	అంబోనిధి
Amborashi	అంబోరాశి
Vertical	అంభుజం
Anbhudharam	అంభుధరం
Ambhuvahi	అంభువాహి
Ambhojajanmudu	అంభోజజన్ముడు
Ambhojayoni	అంభోజయోని
Ambhojavansham	అంభోజవంశం
Internal meaning	అంర్గత అర్థం
Sense of contentment	అంర్గత భావం
Item	అంశం
Factor	అంశకం
Eclipse	అంశగ్రహణం
To the subject	అంశభుక్కు
Topic	అంశము
Topic.	అంశము.
Elements	అంశలుడు
Subject.	అంశి.
Subject	అంశుకము
Element	అంశువు
There	అకడా
Akbari	అకబరీ
Accra	అకరా
Inaction	అకర్మకక్రియ
Unscrupulous	అకళంకితుడు
Invertebrate	అకశేరుక జీవి
Invertebrate	అకశేరుక ప్రాణి
Invertebrates	అకశేరుకాలు
Invertebrates.	అకశేరుకాలు.
Suddenly	అకస్మాత్తుగా
Academy	అకాడమి
Akamakarma	అకామకర్మ
Akayudu	అకాయుడు
Shape.	అకారం.
Premature.	అకాలం.
Premature death	అకాలమరణం
Akali Sikhs	అకాలీ సిక్కులు
Deformity	అకృతి
Malpractice	అకృత్యం
Thank you	అకృప
Akola	అకోలా
Account	అకౌంటు
Accountbook.	అకౌంటుబొక్కు.
Accountant	అకౌటెంట్
Older sister	అక్క
Older sister.	అక్క.
Akkara	అక్కర
Akkalbar	అక్కల్బార్
Akkasam	అక్కసం
అక్కసు	అక్కసు
Akbar	అక్బర్
Illegal evolution.	అక్రమ పరిణామం.
Illicit relationship	అక్రమ సంబంధము
Illegal	అక్రమం
Illegal	అక్రమము
Swag	అక్రమార్జన
Akrurudu	అక్రూరుడు
Axis line	అక్ష రేఖ
Akshadhar	అక్షధరుడు
Axon.	అక్షపటలం.
Akshamala	అక్షమాల
Akshayatritiya.	అక్షయతృతీయ.
Akshayanavami	అక్షయనవమి
Akshayapatra.	అక్షయపాత్ర.
Akshayavat	అక్షయవట్
Akshay Kumar	అక్షయ్‍కుమార్
Akshara Janani	అక్షర జనని
Character brush	అక్షర తూలిక
The letter	అక్షరం
Algebra	అక్షరగణితం
Literacy	అక్షరజనని
Alphabet.	అక్షరజీవి.
Spelling	అక్షరతూలిక
Spelling	అక్షరన్యాసం
Spelling	అక్షరపంక్తి
Alphabet.	అక్షరమాల.
Spelling.	అక్షరవిన్యాసం.
Characters.	అక్షరాలు.
Akshari	అక్షరీ
Axis.	అక్షవిద్య.
Axis formula	అక్షసూత్రం
Latitude line.	అక్షాంశ రేఖ.
Latitude	అక్షాంశం
Latitude.	అక్షాంశం.
Axons	అక్షింతలు
Retina	అక్షిపటలం
Akshauhini	అక్షౌహిణి
Literacy	అక్ష్యరాసత
Bay	అఖాతం
All	అఖిలం
Akhileshwar	అఖిలేశ్వరుడు
Akhibar	అఖైబర్
Akhtawar	అఖ్తావర్
Reputation	అఖ్యాతి
Akhrot	అఖ్‍రోట్
అగజ	అగజ
Agati	అగతి
Agadatantra	అగదతంత్ర
Agan	అగన్
Incense	అగరబత్తి
Agarwood	అగరుచెట్టు
Agarbatti	అగరుబత్తి
Agarbattilupettestand	అగరుబత్తీలుపెట్టేస్టాండ్
Agarumanu	అగరుమాను
Agarwood	అగరువృక్షం
Agasthya	అగస్థ్య
Agasthyakut	అగస్థ్యకుట్
Agastya Gita	అగస్థ్యగీత
Augustine	అగస్థ్యుడు
Abyss	అగాధం
Firefly	అగినపక్షి
అగుడుచేయు	అగుడుచేయు
Appearance.	అగుపించుట.
అగువు	అగువు
Agori	అగోరి
Disrespect	అగౌరవము
Smoke	అగ్గి
Fireplaces	అగ్గికట్టెలు
Matchbox	అగ్గిపెట్టె
Aggiravva	అగ్గిరవ్వ
Fire	అగ్ని
Cremation	అగ్ని సంస్కారం
Agnikarma	అగ్నికర్మ
Fireworks	అగ్నికార్యం
Firework	అగ్నికృత్యం
Fire angle	అగ్నికోణం
Fire pit	అగ్నిగుండం
Flame	అగ్నిజ్వాల
Fiery	అగ్నితత్వరాశి
God of Fire.	అగ్నిదేవుడు.
Ordeal	అగ్నిపరీక్ష
Volcano	అగ్నిపర్వతం
Fireball	అగ్నిబాణం
Fire truck	అగ్నిమాపకవాహనం
Firefighter	అగ్నిముఖుడు
Agniravva	అగ్నిరవ్వ
Fire	అగ్నిశికం
Igneous rock.	అగ్నిశిల.
Agnistome	అగ్నిస్టోమ్
Agnihotram	అగ్నిహోత్రం
Agnihotrayagnam	అగ్నిహోత్రయజ్ఞం
Agnihotri	అగ్నిహోత్రి
Southeast	అగ్నేయం
Agrajanmudu	అగ్రజన్ముడు
Agrajudu	అగ్రజుడు
Top	అగ్రభాగం
Top	అగ్రమైన
Top color	అగ్రవర్ణుడు
అగ్ర్యము	అగ్ర్యము
Assassin	అఘాతకుడు
Shock	అఘాతించు
Aghasurudu	అఘాసురుడు
Aghorudu	అఘోరుడు
Surprise	అచర్యం
Immovable	అచల
Immovable	అచలం
Immovable	అచలజ
Immovable process	అచలన ప్రక్రియ
Immovable	అచలాత్మజ
అచింత.	అచింత.
అచిత్తి	అచిత్తి
The unconscious world	అచేతన ప్రపంచం
Disabled	అచేతనం
Disabled.	అచేతనం.
Surprise	అచ్చరం
అచ్చిక బుచ్చిక	అచ్చిక బుచ్చిక
అచ్చికబుచ్చిక	అచ్చికబుచ్చిక
Mold	అచ్చు
Mold.	అచ్చు.
Mold	అచ్చుటెద్దు
Type	అచ్చుమూస
Typewriter	అచ్చుయంత్రం
Vowels	అచ్చులు
Miner	అచ్చువేయువాడు
Surprise.	అచ్చెరుపాటు.
అచ్చెరువు	అచ్చెరువు
Covering	అచ్ఛాదనము
అచ్యుతుడు	అచ్యుతుడు
అజగరం	అజగరం
అజగుడు	అజగుడు
Ajanana Kosham	అజనన కోశం
Eating	అజభక్షం
Invincible	అజయుడు
అజరుడు	అజరుడు
Carelessness	అజాగ్రత్త
Ajatashatruvu	అజాతశత్రువు
Azan	అజాన్
అజారము.	అజారము.
Ajitavahanu.	అజితవాహనుడు.
Ajit	అజితుడు
Ajinam	అజినం
Ajinapatra	అజినపత్ర
Ajinayoni	అజినయోని
Indigestion	అజిరం
Indigestion	అజీర్ణం
Indigestion.	అజీర్ణం.
Inanimate process	అజీవ ప్రక్రియ
Ajuja	అజుజా
అజుడు	అజుడు
Ajota.	అజోతా.
Anonymous	అజ్ఞాతం
Anonymity	అజ్ఞాతయవ్వనం
Ignorance	అజ్ఞానం
Ignorance.Agnorance	అజ్ఞానత్వం.అజ్ఞత
The darkness of ignorance	అజ్ఞానాంధకారం
Ignorant	అజ్ఞానులు
Ajmaishi	అజ్మాయిషి
Interruption	అటంకం
Attic.	అటక.
Forest	అటవి
Forest area	అటవిప్రాంతం
Atukula Upma	అటుకుల ఉప్మా
Beets	అటుకులు
Beets.	అటుకులు.
The embankment on the other side	అటువైపువున్న గట్టు
Cardboard	అట్ట
Carton	అట్టపెట్టె
Laughter	అట్టహాసము
అట్టు	అట్టు
Atte	అట్టె
Atlantic Ocean	అట్లాంటిక్ మహాసముద్రం
Athaudi.	అఠౌడి.
Adati	అడతి
Don't move	అడలిపోవు
Adalu	అడలు
Wild	అడవి
Wild male	అడవి గండుపిల్లి
Wild animal	అడవి జంతువు
Wild buffalo	అడవి దున్నపొతు
Wild cattle	అడవి పశువు
Adavikodi	అడవికోడి
Adavijajikayachettu.	అడవిజాజికాయచెట్టు.
Wild species	అడవిజాతి
Wild	అడవితులసి
Wildcat	అడవిపిల్లి
Wilderness	అడవిప్రాంతం
Wilderness	అడవివరి
Adana.	అడానా.
Adiyasha	అడియాశ
Adiyasa	అడియాస
Adisachettu.	అడిసచెట్టు.
Begging	అడుక్కుతినడం
Beg	అడుక్కొను
Begging	అడుక్కొనుట
Step	అడుగు
Step.	అడుగు .
Foot part.	అడుగు భాగము.
Ask	అడుగుట
Ask.	అడుగుతట్టు.
On the bottom	అడుగున
Footer	అడుగుభాగం
Footer.	అడుగుభాగం.
Feet	అడుగులు
Feet.	అడుగులు.
అడుసు	అడుసు
Barrier	అడ్డం
Obstacle	అడ్డంకి
Crosswise	అడ్డగర్ర
Crosswise	అడ్డగింత
Interception	అడ్డగింపు
Crossword	అడ్డగీత
Crossroads.	అడ్డదారి.
Nickname.	అడ్డపేరు.
Horizontal	అడ్డసం
Adda	అడ్డా
Horizontal	అడ్డు
Interruption	అడ్డుపాటు
Adti	అడ్తి
Addabasa	అడ్దబాస
Advance	అడ్వాన్సు
Advance	అడ్వాన్స్
Advance copy	అడ్వాన్స్‍కాపీ
Depressed communities.	అణగారిన వర్గాలవారు.
Suppression	అణచివేత
Oppressed people. Dalits. ”	అణచివేయబడినవ్యక్తులు.దళితవ్యక్తులు.”
Suppress.	అణచివేయు.
Ana	అణా
Aniya.	అణీయా.
Vibration	అణుకంపనం
Atomization	అణుత్వం
Nuclear bomb.	అణుబాంబు.
Atom	అణువు
Atom.	అణువు.
Anurudu	అణూరుడు
Atalam	అతలం
Atana	అతానా
Pasting	అతికించడం
Pasting.	అతికించుట.
Transgression	అతిక్రమం
Transgression	అతిక్రమణ
Excessive fear	అతిగా భయపడుట
Rape	అతిచార
Survivors	అతిజీవులు
Guest	అతిథి
Guest room	అతిథి గది
Guest house.	అతిథిగృహం.
Hospitality	అతిథిసత్కారం
Hospitality	అతిథిసేవ
Donor.	అతిదాత.
Donation	అతిదానం
Atidani	అతిదానీ
Guest house	అతిధిగృహం
Hospitality	అతిధిభవనం
Guest house	అతిధిశాల
Host	అతిధేయం
Host	అతిధేయుడు
Overcast.	అతిపాతం.
Overindulgence	అతిప్రేమ
Hyperbole	అతిభాషి
Urinary incontinence	అతిమూత్రవ్యాధి
Athiradhu	అతిరధుడు
Excess	అతివ
Envy	అతిశయం
Exaggeration	అతిశయోక్తి
Exaggerated decoration	అతిశయోక్తిఅలంకారం
Excess	అతిశ్రయిని
Diarrhea	అతిసార వ్యాధి
Diarrhea	అతిసారం
Diarrhea.	అతిసారావ్యాధి.
Psychic	అతీంద్రియుడు
Atisa	అతీస
Seamless	అతుకు
Seamless.	అతుకు.
Seamless	అతుకుకూలీ
Sewing.	అతుకువేయుట.
Adhesive	అతుక్కునే వస్తువు
Atejam	అతేజం
Aunt	అత్త
Mother-in-law	అత్తగారిల్లు
They are mother-in-law	అత్తగారు వాళ్ళు
Atras.	అత్తరాసలు.
Attari	అత్తరీ
Perfume merchant.	అత్తరు వ్యాపారి.
Attar.	అత్తరు.
Attarusisa.	అత్తరుసీసా.
Attara	అత్తార
Fig	అత్తిచెట్టు
Fig	అత్తిపండు
Fig tree	అత్తిపండుచెట్టు
Athirasas	అత్తిరసాలు
Extreme poverty	అత్యంత దారిద్ర్యం
Most	అత్యంతము
The highest	అత్యధికం
Essential	అత్యవశ్యకం
Rape	అత్యాచారం
Rape.	అత్యాచారం.
Atyayu.	అత్యాయు.
Greedy	అత్యాస
Atri	అత్రి
Atharvanudu	అథర్వణుడు
Surcharge	అదనపువేతనం
Adarabadara	అదరాబదరా
Ideal.	అదర్శవంతుడు.
Death	అదాటుమరణం
Addition.	అదానప్రదానము.
Superhero	అదినాయకుడు
Beat	అదిలించు
Authorized object.	అదీకృత వస్తువు.
Custody.	అదుపు.
అదురు	అదురు
Disappear	అదృశ్యం
Good luck	అదృష్టం
Lucky	అదృష్టవంతుడు
Adogati	అదోగతి
అదోగతురాలు	అదోగతురాలు
Mirror	అద్దం
Mirror.	అద్దం.
Dyeing	అద్దకం
Dyeing.	అద్దకం.
Dye color	అద్దకపు రంగు
Don't dye	అద్దకపుకోక
Dye	అద్దకపుచీర
Dyer	అద్దకుడు
To the mirror.	అద్దపుకిటికి.
Addamarei	అద్దమరేయి
Added.	అద్దినారు.
Rent	అద్దె
Awesome	అద్బుతం
Awesome	అద్భుతం
Adri	అద్రి
Adrija	అద్రిజ
Advaitaism	అద్వైతవాదం
Inferiority	అధమత్వం
The underworld	అధమలోకం
The worst	అధమాంగం
The worst.	అధమాంగం.
Lip	అధరం
Unrighteousness.	అధర్మం.
Unrighteousness	అధర్మమం
Wickedness	అధర్మము
Adharvanaveda.	అధర్వణవేదం.
Adhatu	అధాతువు
Immorality.	అధార్మికత.
The supreme leader	అధి నాయకురాలు
High income	అధిక ఆదాయం
High cost	అధిక ఖర్చు
Overweight	అధిక బరువు
For the most part	అధిక భాగము
High month	అధిక మాసం
High fee	అధిక శుల్కం
High	అధికం
Overtime	అధికకాలం
Excess urine	అధికమూత్రం
Excessive noise	అధికమైన శబ్ధం
Authorization	అధికరణ
Adhikaranamandapam	అధికరణమండపం
Addition	అధికరణము
Department of Justice	అధికరణశాఖ
Hyperactivity	అధికశబ్ధరాశి
The majority.	అధికశాతం.
Dominance of power.	అధికార ఆధిఖ్యత.
The ruling party	అధికార పక్షము
Unauthorized	అధికార రహితం
Authority	అధికారం
Authority supremacy.	అధికారం ఆధిఖ్యత.
Empowering	అధికారం ఇవ్వడం
Resignation	అధికారత్యాగం
Certificate	అధికారపత్రం
Officially asking.	అధికారపూర్వకంగా అడగడం.
Authority	అధికారము
Empowerment	అధికారవరం
Powerless	అధికారహీనం
Authority	అధికారాధిఖ్యత
Officer	అధికారి
Officer.	అధికారి.
Formal impact	అధికారిక ప్రభావం
Hierarchy	అధిక్రమం
Superimposition	అధిక్షేపం
Supremacy	అధిజిహ్వం
God	అధిదేవుడు
Chief	అధినేత
Chief	అధినేత్రి
Head	అధిపతి
Chiefs	అధిపురాలు
Superior	అధిపురుషుడు
Empire	అధిరాజ్యము
Climber	అధిరోహి
To climb	అధిరోహించడం
Climb.	అధిరోహించు.
Climbing	అధిరోహించుట
Hyperactivity	అధివాచకత
Occupancy	అధివాసం
Edict	అధిశాసనం
Supremacy.	అధిష్టానము.
Adhirudu	అధీరుడు
AdhishuduChatrapati	అధీశుడుఛత్రపతి
అధృవం	అధృవం
Recession.	అధోగమనం.
Depression	అధోభువనం
Downhill	అధోమార్గం
Inferiority	అధోవాచకత
President	అధ్యక్షుడు
President.	అధ్యక్షుడు.
Presidency	అధ్యక్ష్యత
Presidency.	అధ్యక్ష్యత.
